Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp,Wind
37866,43,Clear,48,58,40,40,0
37867,37,Clear,45,56,34,39,0
37868,42,Clear,48,57,41,41,2
37869,39,Clear,45,54,38,39,1
37870,41,Clear,46,57,38,39,0
37871,45,Clear,49,59,42,40,1
37872,44,Clear,45,56,41,40,2
37873,40,Clear,48,56,38,38,1
37874,41,Clear,49,58,39,37,2
37876,44,Clear,48,57,42,40,1
37877,42,Clear,48,56,40,40,3
37878,43,Clear,45,55,40,37,3
37879,38,Clear,45,56,36,37,1
37880,40,Clear,49,60,39,38,2
37881,40,Clear,46,55,38,39,2
37882,43,Clear,45,54,41,41,3
37885,43,Clear,50,59,41,40,1
37886,43,Clear,45,55,42,40,3
37887,44,Clear,47,57,42,40,1
37888,40,Clear,45,56,37,39,1
37890,42,Clear,49,57,39,41,3
37891,37,Clear,49,57,36,40,2
37892,43,Clear,45,56,41,40,3
37901,44,Clear,47,59,41,40,1
37902,44,Clear,48,60,42,40,1
37909,47,Clear,47,59,43,39,2
37912,46,Clear,48,58,42,39,1
37914,44,Clear,48,59,41,40,1
37915,44,Clear,48,59,41,40,1
37916,45,Clear,48,60,42,40,1
37917,45,Clear,47,59,41,40,1
37918,45,Clear,46,58,42,39,2
37919,47,Clear,46,61,43,39,2
37920,44,Clear,48,60,41,40,2
37921,46,Clear,48,58,42,39,2
37922,44,Clear,49,60,41,39,3
37923,45,Clear,49,61,42,38,2
37924,45,Clear,48,59,42,39,1
37927,44,Clear,47,59,41,40,1
37928,44,Clear,47,59,41,40,1
37929,44,Clear,48,60,42,40,1
37930,44,Clear,48,60,42,40,1
37931,47,Clear,51,60,42,38,2
37932,45,Clear,49,59,41,37,2
37933,44,Clear,48,60,42,40,1
37934,46,Clear,49,58,42,38,2
37938,45,Clear,47,59,41,38,2
37939,44,Clear,47,59,41,40,1
37940,44,Clear,47,59,41,40,1
37950,44,Clear,47,59,41,40,1
37995,44,Clear,48,60,42,40,1
37996,45,Clear,49,60,42,40,1
37997,44,Clear,48,60,42,40,1
37998,44,Clear,49,59,42,41,2
38001,49,Clear,54,60,47,40,4
38002,52,Clear,55,65,48,41,3
38004,51,Clear,55,63,48,42,3
38006,48,Clear,54,61,46,40,4
38007,53,Clear,54,62,51,42,6
38008,46,Clear,55,66,45,41,2
38010,49,Clear,55,63,47,40,3
38011,49,Clear,56,63,48,42,4
38012,49,Clear,55,62,47,40,4
38014,53,Clear,60,64,49,42,2
38015,49,Clear,56,63,49,42,4
38016,53,Clear,56,63,49,42,3
38017,52,Clear,56,63,48,43,3
38018,50,Clear,55,64,50,43,2
38019,50,Clear,56,63,49,41,5
38021,50,Clear,54,61,48,41,5
38023,52,Clear,57,63,48,42,4
38024,53,Clear,54,62,51,42,5
38025,53,Clear,54,62,50,42,5
38027,52,Clear,56,62,48,42,3
38028,51,Clear,54,64,48,42,3
38029,52,Clear,57,65,49,42,2
38030,53,Clear,54,62,50,42,6
38034,51,Clear,54,61,49,41,5
38036,52,Clear,56,65,47,41,3
38037,51,Clear,55,62,50,42,5
38039,46,Clear,56,63,44,42,2
38040,52,Clear,55,62,50,42,5
38041,50,Clear,56,63,48,42,5
38042,46,Clear,55,63,45,41,2
38044,48,Clear,55,65,46,42,2
38045,47,Clear,55,63,45,40,3
38046,48,Clear,56,64,45,41,2
38047,53,Clear,53,61,50,42,6
38048,49,Clear,56,63,46,41,3
38049,49,Clear,55,63,47,41,3
38050,50,Clear,54,61,48,41,5
38052,47,Clear,55,64,46,43,2
38053,53,Fair,59,63,49,42,0
38054,53,Fair,58,64,48,42,0
38055,53,Fair,59,63,48,42,0
38057,48,Clear,56,63,46,41,2
38058,51,Clear,57,63,48,42,3
38059,51,Clear,54,62,49,42,6
38060,49,Clear,55,63,46,41,3
38061,47,Clear,54,64,44,43,1
38063,51,Clear,56,63,49,42,5
38066,50,Clear,56,63,46,42,2
38067,46,Clear,55,63,45,43,2
38068,48,Clear,55,63,47,40,3
38069,48,Clear,56,63,46,40,4
38070,52,Clear,54,62,49,41,5
38071,52,Clear,57,63,48,42,2
38075,47,Clear,54,63,45,41,3
38076,47,Clear,55,63,45,41,3
38077,53,Clear,54,61,50,42,6
38079,53,Clear,54,61,50,42,7
38080,52,Clear,54,61,50,42,6
38083,53,Fair,58,63,49,42,0
38088,51,Clear,55,64,49,43,2
38101,53,Clear,57,64,50,43,2
38103,53,Clear,57,64,50,43,2
38104,52,Clear,57,64,50,44,2
38105,53,Clear,57,64,50,43,2
38106,53,Clear,57,63,50,44,2
38107,52,Clear,57,64,50,44,2
38108,51,Clear,57,64,50,44,2
38109,52,Clear,57,64,49,45,2
38111,51,Clear,56,64,50,44,2
38112,51,Clear,57,64,50,44,2
38113,52,Clear,57,64,49,43,3
38114,52,Clear,57,64,50,44,2
38115,51,Clear,55,64,49,44,2
38116,52,Fair,56,64,50,45,0
38117,51,Clear,56,63,50,44,2
38118,52,Clear,56,64,50,45,2
38119,51,Clear,55,64,50,44,2
38120,50,Clear,55,63,49,44,2
38122,50,Clear,56,63,50,44,2
38124,53,Clear,57,64,50,43,2
38125,49,Clear,55,64,50,44,3
38126,53,Clear,57,64,50,43,2
38127,51,Clear,57,64,50,44,2
38128,51,Clear,56,64,50,44,2
38130,52,Fair,56,64,50,45,0
38131,52,Fair,56,64,50,45,0
38132,52,Fair,56,64,50,45,0
38133,51,Clear,57,65,49,43,2
38134,50,Clear,56,64,49,43,2
38135,51,Clear,58,65,49,42,2
38136,53,Clear,57,64,50,43,2
38137,53,Clear,57,64,50,43,2
38138,51,Clear,54,63,49,43,2
38139,51,Clear,53,63,50,43,2
38141,49,Clear,55,64,48,44,3
38145,53,Clear,57,64,50,44,2
38148,53,Clear,57,64,50,43,2
38150,53,Clear,57,64,50,44,2
38151,53,Clear,57,64,50,44,2
38152,51,Clear,56,64,49,44,2
38157,53,Clear,57,64,50,43,2
38159,53,Clear,57,64,50,44,2
38161,53,Clear,57,64,50,43,2
38163,53,Clear,57,64,50,44,2
38166,53,Clear,57,64,50,44,2
38167,53,Clear,57,64,50,44,2
38168,53,Clear,57,64,50,44,2
38173,53,Clear,57,64,50,43,2
38174,53,Clear,57,64,50,44,2
38175,53,Clear,57,64,50,44,2
38177,53,Clear,57,64,50,43,2
38181,53,Clear,57,64,50,44,2
38182,53,Clear,57,64,50,43,2
38183,53,Clear,57,64,50,44,2
38184,53,Clear,57,64,50,44,2
38186,53,Clear,57,64,50,43,2
38187,53,Clear,57,64,50,44,2
38188,53,Clear,57,64,50,44,2
38190,53,Clear,57,64,50,44,2
38193,53,Clear,57,64,50,43,2
38194,53,Clear,57,64,50,43,2
38197,53,Clear,57,64,50,44,2
38201,48,Mostly Cloudy,55,60,46,40,3
38220,49,Partly Cloudy,54,60,46,39,3
38221,49,Partly Cloudy,53,61,49,43,3
38222,49,Partly Cloudy,53,61,50,43,5
38223,47,Partly Cloudy,54,60,46,41,4
38224,47,Partly Cloudy,54,60,46,41,4
38225,49,Fair,55,61,47,40,4
38226,49,Fair,54,60,48,41,4
38229,49,Partly Cloudy,55,60,47,40,4
38230,51,Fair,57,61,47,40,4
38231,47,Partly Cloudy,53,59,46,41,4
38232,52,Clear,53,60,50,43,6
38233,51,Clear,55,62,49,41,5
38235,49,Partly Cloudy,54,60,47,40,3
38236,48,Partly Cloudy,53,60,47,42,4
38237,49,Clear,56,63,48,40,3
38238,49,Clear,56,63,48,40,3
38240,51,Clear,54,62,49,43,5
38241,48,Partly Cloudy,55,60,48,41,5
38242,46,Partly Cloudy,54,61,46,42,4
38251,48,Partly Cloudy,53,60,48,42,5
38253,51,Clear,55,62,49,41,3
38254,53,Clear,54,61,51,44,6
38255,49,Fair,56,61,47,40,3
38256,49,Partly Cloudy,53,61,47,43,3
38257,50,Clear,55,61,48,40,5
38258,49,Partly Cloudy,54,61,47,40,3
38259,51,Clear,55,62,49,42,5
38260,51,Clear,55,62,49,43,5
38261,51,Clear,55,62,49,41,3
38271,52,Clear,55,62,50,41,5
38281,51,Clear,55,62,49,41,4
38301,47,Clear,54,62,46,40,4
38302,47,Clear,54,62,45,40,4
38303,47,Clear,54,62,45,40,4
38305,48,Clear,54,61,46,40,4
38308,47,Clear,54,62,45,40,4
38310,47,Clear,54,63,44,41,1
38311,47,Clear,53,62,43,39,0
38313,45,Fair,54,62,43,40,3
38314,46,Clear,54,62,45,40,4
38315,46,Clear,55,62,45,41,2
38316,50,Fair,56,61,47,40,4
38317,50,Partly Cloudy,52,60,48,41,3
38318,49,Partly Cloudy,52,60,47,41,2
38320,50,Partly Cloudy,52,60,49,42,2
38321,48,Partly Cloudy,52,60,46,40,3
38324,48,Partly Cloudy,53,60,46,41,3
38326,48,Clear,54,63,45,41,1
38327,47,Clear,54,63,43,40,1
38328,47,Fair,53,61,44,40,0
38329,47,Fair,53,61,44,40,1
38330,50,Fair,54,61,47,40,5
38331,51,Clear,54,61,49,41,5
38332,47,Clear,54,63,44,41,1
38333,49,Partly Cloudy,51,61,49,44,2
38334,46,Clear,55,63,44,41,2
38336,49,Clear,54,61,46,40,5
38337,49,Clear,54,61,46,40,5
38338,49,Fair,53,60,46,39,4
38339,48,Clear,54,63,44,41,2
38340,46,Clear,55,63,44,40,2
38341,49,Partly Cloudy,52,61,48,42,2
38342,49,Partly Cloudy,51,59,47,41,3
38343,50,Fair,53,60,46,39,4
38344,49,Partly Cloudy,53,60,47,40,2
38345,46,Fair,54,61,43,39,2
38346,49,Partly Cloudy,54,60,46,40,4
38347,45,Clear,54,62,43,40,2
38348,48,Partly Cloudy,52,60,45,40,3
38351,46,Fair,53,61,44,40,1
38352,45,Fair,54,61,43,39,2
38355,49,Fair,52,60,46,39,3
38356,46,Clear,55,64,45,41,3
38357,47,Clear,54,62,44,41,1
38358,49,Fair,53,60,46,39,4
38359,47,Clear,54,64,44,41,1
38361,47,Clear,54,63,44,41,1
38362,47,Clear,54,60,45,39,4
38363,46,Partly Cloudy,53,61,43,40,1
38365,48,Clear,54,63,45,41,0
38366,47,Clear,55,63,45,41,3
38367,47,Clear,54,63,44,41,2
38368,46,Fair,54,62,44,41,1
38369,50,Fair,54,61,48,41,5
38370,47,Clear,54,63,43,40,1
38371,46,Fair,54,62,43,41,1
38372,47,Clear,54,64,44,40,1
38374,47,Fair,54,61,44,41,1
38375,46,Clear,55,62,44,41,2
38376,47,Clear,54,63,44,41,1
38377,48,Clear,56,64,46,42,2
38378,48,Fair,53,60,45,40,3
38379,47,Clear,54,63,44,41,2
38380,49,Partly Cloudy,52,61,47,42,2
38381,47,Clear,55,64,45,41,2
38382,51,Fair,52,60,47,40,5
38387,48,Partly Cloudy,52,60,46,41,2
38388,47,Partly Cloudy,53,60,45,40,2
38389,51,Clear,54,61,48,41,5
38390,48,Partly Cloudy,53,60,46,41,2
38391,46,Clear,54,61,44,39,4
38392,46,Clear,54,63,44,40,4
38393,47,Clear,54,63,44,42,1
38401,44,Clear,53,61,42,39,1
38402,44,Clear,53,61,42,39,1
38425,47,Clear,54,63,44,40,0
38449,43,Clear,54,58,40,39,1
38450,45,Clear,54,59,43,41,0
38451,42,Clear,54,60,40,39,1
38452,46,Clear,56,62,43,42,0
38453,43,Clear,54,59,40,40,0
38454,48,Fair,53,59,46,41,2
38455,43,Clear,55,59,40,39,1
38456,45,Fair,54,59,42,40,1
38457,44,Clear,55,59,41,40,1
38459,42,Clear,53,59,40,40,0
38460,42,Clear,54,59,39,40,0
38461,47,Clear,53,59,46,42,1
38462,46,Fair,54,59,45,41,2
38463,45,Clear,55,61,42,42,0
38464,47,Fair,54,59,43,41,0
38468,44,Clear,54,59,41,40,0
38469,44,Clear,55,59,41,41,0
38471,47,Clear,55,62,44,42,0
38472,41,Clear,54,59,39,40,1
38473,43,Clear,55,59,40,40,0
38474,46,Clear,54,58,45,40,1
38475,47,Clear,54,62,45,41,0
38476,48,Partly Cloudy,53,59,45,41,2
38477,42,Clear,54,60,38,40,0
38478,40,Clear,55,60,39,40,0
38481,45,Clear,55,60,41,42,1
38482,45,Fair,52,59,43,39,2
38483,46,Clear,53,58,43,40,1
38485,47,Clear,54,61,45,40,1
38486,45,Clear,55,60,42,42,0
38487,47,Clear,52,59,45,40,1
38488,44,Clear,54,58,41,40,1
38501,42,Clear,50,55,41,37,3
38502,41,Clear,49,54,39,37,2
38503,41,Clear,49,54,39,37,2
38504,43,Clear,49,54,41,39,2
38505,42,Clear,49,54,40,37,2
38506,42,Clear,49,54,40,37,2
38541,45,Clear,49,53,44,41,5
38542,47,Clear,50,55,46,43,4
38543,46,Clear,49,54,46,40,4
38544,42,Clear,50,55,39,37,2
38545,42,Clear,49,55,40,37,2
38547,38,Clear,53,58,39,39,2
38548,42,Clear,52,59,41,39,1
38549,45,Clear,50,55,44,41,4
38550,41,Clear,51,56,39,37,0
38551,48,Clear,51,58,47,43,2
38552,41,Clear,51,59,40,39,1
38553,43,Clear,48,51,42,40,3
38554,43,Clear,47,52,43,40,4
38555,44,Fair,48,54,42,38,0
38556,43,Clear,48,52,42,39,4
38557,44,Fair,48,54,42,38,0
38558,43,Clear,48,53,42,40,3
38559,41,Clear,50,55,39,37,0
38560,40,Clear,51,59,40,39,1
38562,45,Clear,51,58,43,40,1
38563,39,Clear,52,59,39,39,1
38564,43,Clear,51,59,42,40,1
38565,45,Clear,48,52,45,40,3
38567,39,Clear,52,58,39,39,1
38568,45,Clear,50,55,44,41,3
38569,39,Clear,52,60,39,38,1
38570,46,Clear,49,53,45,41,4
38571,42,Clear,48,52,41,39,3
38572,41,Clear,48,52,39,38,1
38573,46,Clear,50,55,46,41,4
38574,42,Clear,47,52,42,38,3
38575,46,Clear,51,56,45,42,2
38577,44,Clear,51,55,44,39,3
38578,41,Clear,48,52,39,38,1
38579,41,Clear,50,56,39,38,0
38580,44,Clear,50,54,43,39,3
38581,41,Clear,51,57,39,38,0
38582,42,Clear,50,57,40,37,0
38583,41,Clear,49,55,39,37,0
38585,40,Clear,48,53,39,37,1
38587,41,Clear,51,57,39,38,0
38588,45,Clear,51,57,44,41,1
38589,43,Clear,47,52,43,40,4
